"animal_id","animal_type","breed","color","age_in_years","sex_upon_outcome","outcome_subtype","adoption_date","next_intake_date","return_type","churn_180_days_flag"
"A723272","Dog","Border Collie/Labrador Retriever","Black/White","0.17","Spayed Female",NULL,"2016-04-26 12:16:00",NULL,NULL,0
"A723278","Dog","Australian Cattle Dog Mix","Red/White","4.00","Spayed Female",NULL,"2016-04-02 11:38:00",NULL,NULL,0
"A723280","Cat","Domestic Shorthair Mix","Torbie","1.00","Spayed Female",NULL,"2016-04-02 19:04:00",NULL,NULL,0
"A723284","Cat","Domestic Shorthair Mix","Calico","0.83","Spayed Female",NULL,"2016-04-09 12:21:00",NULL,NULL,0
"A723293","Dog","Pit Bull Mix","White/Black","0.50","Spayed Female",NULL,"2016-04-04 18:07:00",NULL,NULL,0
"A723300","Dog","Pit Bull Mix","Brown Brindle/White","2.00","Neutered Male",NULL,"2016-08-08 00:00:00",NULL,NULL,0
"A723310","Cat","Domestic Shorthair Mix","Black/White","2.00","Neutered Male",NULL,"2016-05-04 18:35:00",NULL,NULL,0
"A723319","Dog","Labrador Retriever Mix","Black/White","0.33","Neutered Male",NULL,"2016-04-03 16:13:00",NULL,NULL,0
"A723320","Dog","Labrador Retriever Mix","Black/White","0.33","Spayed Female",NULL,"2016-04-03 14:43:00",NULL,NULL,0
"A723322","Cat","Domestic Medium Hair Mix","Orange Tabby","0.17","Neutered Male","Foster","2016-05-07 13:23:00",NULL,NULL,0
"A723329","Dog","Labrador Retriever Mix","Black","1.00","Spayed Female","Foster","2016-04-25 16:58:00",NULL,NULL,0
"A723334","Dog","Catahoula","Brown Brindle","6.00","Neutered Male",NULL,"2017-06-30 12:41:00",NULL,NULL,0
"A723336","Dog","Labrador Retriever Mix","White/Black","0.17","Intact Male",NULL,"2016-04-03 14:20:00",NULL,NULL,0
"A723337","Dog","Chihuahua Shorthair Mix","Tan/White","2.00","Spayed Female",NULL,"2016-04-04 17:09:00",NULL,NULL,0
"A723338","Dog","Pit Bull Mix","Blue/White","1.00","Neutered Male",NULL,"2016-04-15 17:41:00",NULL,NULL,0
"A723339","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male",NULL,"2016-05-15 17:23:00","2016-05-17 12:27:00","Owner Surrender",1
"A723339","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male",NULL,"2016-07-26 19:18:00","2016-09-29 09:41:00","Owner Surrender",1
"A723339","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male","Foster","2017-02-01 08:25:00",NULL,NULL,0
"A723340","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male",NULL,"2016-05-15 17:23:00","2016-05-17 12:30:00","Owner Surrender",1
"A723340","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male",NULL,"2016-07-26 19:18:00","2016-09-29 09:41:00","Owner Surrender",1
"A723340","Dog","Labrador Retriever Mix","Yellow","6.00","Neutered Male","Foster","2017-02-01 08:24:00",NULL,NULL,0
"A723341","Dog","Staffordshire Mix","Brown Brindle/White","1.00","Spayed Female",NULL,"2016-04-11 14:26:00",NULL,NULL,0
"A723342","Dog","Dachshund Wirehair Mix","Blue Merle/Tan","2.00","Neutered Male",NULL,"2016-04-03 17:46:00",NULL,NULL,0
"A723345","Dog","Chihuahua Shorthair Mix","Buff","1.00","Neutered Male","Offsite","2016-04-03 17:18:00",NULL,NULL,0
"A723346","Dog","Cairn Terrier Mix","Tan","3.00","Spayed Female",NULL,"2016-04-04 11:56:00",NULL,NULL,0
"A723349","Dog","Great Pyrenees Mix","White/Black","1.00","Neutered Male",NULL,"2016-04-03 17:53:00",NULL,NULL,0
"A723350","Dog","Chinese Sharpei/Chow Chow","Red","1.00","Neutered Male","Foster","2016-08-05 12:15:00",NULL,NULL,0
"A723354","Cat","Domestic Shorthair Mix","Brown Tabby/White","13.00","Spayed Female","Foster","2017-07-14 10:30:00",NULL,NULL,0
"A723366","Dog","Australian Cattle Dog Mix","Black Brindle/White","1.00","Spayed Female",NULL,"2016-04-12 18:41:00",NULL,NULL,0
"A723367","Dog","Australian Cattle Dog Mix","White/Black","0.33","Spayed Female",NULL,"2016-04-12 18:41:00",NULL,NULL,0
"A723388","Dog","Catahoula Mix","White/Black","0.25","Neutered Male",NULL,"2016-04-04 17:26:00",NULL,NULL,0
"A723391","Other","Rabbit Sh Mix","White/Black","1.00","Spayed Female",NULL,"2016-06-09 13:25:00",NULL,NULL,0
"A723392","Other","Rabbit Sh Mix","White/Black","1.00","Neutered Male",NULL,"2016-04-08 21:49:00",NULL,NULL,0
"A723393","Other","Rabbit Sh Mix","White/Black","1.00","Neutered Male",NULL,"2016-04-14 10:50:00",NULL,NULL,0
"A723394","Other","Rabbit Sh Mix","White/Black","1.00","Neutered Male",NULL,"2016-06-03 17:09:00",NULL,NULL,0
"A723395","Other","Rabbit Sh Mix","White/Black","1.00","Neutered Male",NULL,"2016-05-26 19:24:00",NULL,NULL,0
"A723405","Dog","Australian Cattle Dog Mix","Blue Merle","4.00","Neutered Male",NULL,"2016-04-15 00:00:00",NULL,NULL,0
"A723406","Dog","Australian Shepherd Mix","Red","2.00","Neutered Male",NULL,"2016-04-14 16:02:00",NULL,NULL,0
"A723410","Cat","Domestic Longhair Mix","Blue Tabby/White","12.00","Neutered Male",NULL,"2016-04-24 13:13:00",NULL,NULL,0
"A723415","Dog","Chihuahua Shorthair Mix","Brown/White","1.00","Spayed Female",NULL,"2016-04-07 16:55:00",NULL,NULL,0
"A723416","Dog","Chihuahua Shorthair Mix","Brown/White","1.00","Neutered Male",NULL,"2016-04-07 18:21:00",NULL,NULL,0
"A723425","Cat","Domestic Shorthair Mix","Blue","3.00","Spayed Female",NULL,"2016-04-04 19:05:00",NULL,NULL,0
"A723431","Dog","Labrador Retriever Mix","Brown","1.00","Spayed Female",NULL,"2016-04-05 18:08:00",NULL,NULL,0
"A723452","Cat","Domestic Shorthair Mix","Blue/White","12.00","Spayed Female",NULL,"2016-07-26 18:24:00",NULL,NULL,0
"A723461","Dog","Border Collie Mix","Black","2.00","Spayed Female",NULL,"2016-04-05 17:57:00",NULL,NULL,0
"A723465","Dog","Chihuahua Shorthair Mix","Tan/White","2.00","Neutered Male",NULL,"2016-04-14 18:38:00",NULL,NULL,0
"A723468","Dog","English Bulldog Mix","Brown Brindle","5.00","Spayed Female",NULL,"2016-04-09 17:17:00",NULL,NULL,0
"A723477","Dog","Pointer Mix","White/Brown","0.33","Spayed Female",NULL,"2016-04-06 17:59:00",NULL,NULL,0
"A723484","Dog","American Foxhound Mix","White/Brown","1.00","Spayed Female",NULL,"2016-05-07 12:48:00",NULL,NULL,0
"A723485","Dog","Chihuahua Shorthair Mix","Brown","1.00","Neutered Male",NULL,"2016-04-06 17:38:00",NULL,NULL,0
"A723493","Dog","Pit Bull/Bulldog","Brown Brindle/White","0.42","Neutered Male",NULL,"2016-04-06 19:03:00",NULL,NULL,0
"A723494","Dog","Labrador Retriever Mix","Black/White","2.00","Spayed Female",NULL,"2016-06-09 15:53:00",NULL,NULL,0
"A723496","Cat","Domestic Medium Hair Mix","Black/White","0.17","Spayed Female",NULL,"2016-04-10 14:49:00",NULL,NULL,0
"A723497","Cat","Domestic Medium Hair Mix","Black/White","0.17","Neutered Male",NULL,"2016-04-10 17:27:00",NULL,NULL,0
"A723501","Cat","Domestic Shorthair Mix","Calico","2.00","Spayed Female",NULL,"2016-04-16 17:43:00",NULL,NULL,0
"A723508","Cat","Siamese Mix","Lynx Point","0.17","Spayed Female","Foster","2016-05-03 11:12:00",NULL,NULL,0
"A723511","Dog","Pit Bull Mix","Black","2.00","Spayed Female",NULL,"2016-07-21 11:45:00",NULL,NULL,0
"A723518","Dog","Labrador Retriever Mix","Black/White","0.25","Spayed Female",NULL,"2016-04-08 17:32:00",NULL,NULL,0
"A723524","Dog","Chihuahua Longhair Mix","Black/White","7.00","Intact Female",NULL,"2016-04-09 19:33:00",NULL,NULL,0
"A723528","Dog","Labrador Retriever Mix","Black/White","2.00","Spayed Female",NULL,"2016-04-10 14:09:00",NULL,NULL,0
"A723545","Cat","Domestic Shorthair Mix","Tortie","2.00","Spayed Female",NULL,"2016-06-06 16:19:00",NULL,NULL,0
"A723546","Cat","Domestic Shorthair Mix","Blue/Tortie","0.42","Spayed Female","Foster","2016-09-21 12:09:00",NULL,NULL,0
"A723547","Cat","Domestic Shorthair Mix","Blue","0.25","Neutered Male","Foster","2016-07-09 17:19:00",NULL,NULL,0
"A723548","Cat","Domestic Shorthair Mix","Blue","0.25","Spayed Female","Foster","2016-07-09 19:26:00",NULL,NULL,0
"A723549","Cat","Domestic Shorthair Mix","Black","0.25","Spayed Female","Foster","2016-07-09 17:20:00",NULL,NULL,0
"A723550","Cat","Domestic Shorthair Mix","Black","0.25","Spayed Female","Foster","2016-07-17 18:06:00",NULL,NULL,0
"A723551","Cat","Domestic Shorthair Mix","Orange Tabby","0.17","Neutered Male",NULL,"2016-06-22 17:53:00",NULL,NULL,0
"A723558","Dog","Pit Bull Mix","Brown Brindle/White","0.58","Spayed Female",NULL,"2016-04-23 15:49:00","2016-05-12 17:26:00","Stray",1
"A723559","Dog","Plott Hound Mix","Brown Brindle","0.50","Spayed Female",NULL,"2016-04-09 13:30:00","2016-04-09 15:31:00","Owner Surrender",1
"A723559","Dog","Plott Hound Mix","Brown Brindle","0.50","Spayed Female",NULL,"2016-04-14 00:00:00",NULL,NULL,0
"A723566","Dog","Chihuahua Shorthair Mix","Black/Brown","1.00","Intact Female",NULL,"2016-04-10 17:33:00",NULL,NULL,0
"A723569","Cat","Domestic Shorthair Mix","Brown Tabby","1.00","Spayed Female",NULL,"2016-04-10 17:50:00",NULL,NULL,0
"A723575","Dog","Chihuahua Shorthair Mix","Tan/White","1.00","Neutered Male",NULL,"2016-04-07 18:14:00","2016-04-12 15:21:00","Stray",1
"A723575","Dog","Chihuahua Shorthair Mix","Tan/White","1.00","Neutered Male",NULL,"2016-04-16 16:45:00",NULL,NULL,0
"A723577","Cat","Domestic Medium Hair Mix","Orange Tabby","1.00","Neutered Male",NULL,"2016-05-01 11:53:00",NULL,NULL,0
"A723578","Bird","Chicken","Red","1.00","Intact Female",NULL,"2016-04-07 14:19:00",NULL,NULL,0
"A723579","Dog","Miniature Schnauzer Mix","Black/Tan","1.00","Neutered Male",NULL,"2016-04-15 19:05:00","2016-04-18 16:47:00","Owner Surrender",1
"A723579","Dog","Miniature Schnauzer Mix","Black/Tan","1.00","Neutered Male",NULL,"2016-04-21 22:14:00",NULL,NULL,0
"A723580","Dog","Australian Kelpie Mix","Black/Tan","0.17","Spayed Female",NULL,"2016-04-07 17:47:00",NULL,NULL,0
"A723581","Dog","Australian Kelpie Mix","Tan","0.17","Spayed Female",NULL,"2016-04-07 17:29:00",NULL,NULL,0
"A723582","Dog","Australian Kelpie Mix","Tan","0.17","Neutered Male",NULL,"2016-04-07 17:29:00","2016-04-08 15:42:00","Owner Surrender",1
"A723582","Dog","Australian Kelpie Mix","Tan","0.17","Neutered Male",NULL,"2016-04-08 18:29:00",NULL,NULL,0
"A723583","Dog","Australian Kelpie Mix","Tan","0.17","Neutered Male",NULL,"2016-04-09 11:57:00",NULL,NULL,0
"A723584","Cat","Domestic Medium Hair","Calico","0.58","Spayed Female","Foster","2016-09-21 13:28:00",NULL,NULL,0
"A723585","Cat","Domestic Shorthair Mix","Black","0.58","Neutered Male","Foster","2016-09-30 13:16:00",NULL,NULL,0
"A723586","Dog","English Bulldog Mix","Brown/White","2.00","Neutered Male",NULL,"2016-04-07 11:42:00",NULL,NULL,0
"A723606","Dog","Cardigan Welsh Corgi Mix","Tan/White","0.83","Neutered Male",NULL,"2016-04-07 17:18:00",NULL,NULL,0
"A723610","Dog","Chihuahua Shorthair Mix","Tan/White","1.00","Neutered Male",NULL,"2016-04-10 18:35:00",NULL,NULL,0
"A723611","Dog","Pembroke Welsh Corgi Mix","Tan/White","0.17","Neutered Male",NULL,"2016-04-08 13:31:00",NULL,NULL,0
"A723612","Dog","Pembroke Welsh Corgi Mix","Tan/White","0.17","Spayed Female",NULL,"2016-04-07 18:17:00",NULL,NULL,0
"A723619","Cat","Domestic Shorthair Mix","Brown Tabby/White","3.00","Neutered Male",NULL,"2016-04-15 13:58:00",NULL,NULL,0
"A723626","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.25","Neutered Male","Foster","2016-06-22 07:44:00",NULL,NULL,0
"A723627","Cat","Domestic Shorthair Mix","Calico","0.25","Spayed Female","Foster","2016-06-14 09:40:00",NULL,NULL,0
"A723630","Dog","Siberian Husky Mix","White","1.00","Neutered Male",NULL,"2016-04-08 18:07:00",NULL,NULL,0
"A723632","Dog","Australian Cattle Dog Mix","Black/Brown","1.00","Spayed Female","Foster","2016-09-12 15:59:00","2017-06-20 14:08:00","Owner Surrender",0
"A723633","Cat","Domestic Shorthair Mix","Torbie","1.00","Spayed Female","Foster","2016-07-10 09:14:00",NULL,NULL,0
"A723634","Cat","Domestic Shorthair Mix","Torbie","0.25","Spayed Female","Foster","2016-07-30 11:52:00",NULL,NULL,0
"A723635","Cat","Domestic Shorthair Mix","Brown Tabby","0.25","Spayed Female","Foster","2016-07-09 16:37:00",NULL,NULL,0
"A723636","Cat","Domestic Shorthair Mix","Brown Tabby","0.25","Spayed Female","Foster","2016-07-09 18:50:00",NULL,NULL,0
"A723638","Dog","Chihuahua Shorthair/Pekingese","White/Brown","1.00","Spayed Female","Foster","2016-04-26 11:03:00",NULL,NULL,0
"A723645","Dog","Pembroke Welsh Corgi Mix","Chocolate/White","0.83","Spayed Female","Foster","2016-04-13 17:15:00",NULL,NULL,0
"A723653","Dog","Boxer Mix","White/Brown","2.00","Neutered Male",NULL,"2017-05-05 12:45:00",NULL,NULL,0
"A723656","Dog","Cairn Terrier/Miniature Schnauzer","Black","4.00","Spayed Female",NULL,"2016-04-17 18:13:00",NULL,NULL,0
"A723659","Dog","Beagle/Cardigan Welsh Corgi","Tricolor","0.67","Neutered Male",NULL,"2016-04-10 12:21:00",NULL,NULL,0
"A723670","Dog","Yorkshire Terrier Mix","Black/Tan","2.00","Neutered Male",NULL,"2016-04-10 17:47:00",NULL,NULL,0
"A723688","Dog","German Shepherd Mix","Brown/Black","1.00","Neutered Male",NULL,"2016-04-28 18:57:00","2016-11-05 11:20:00","Owner Surrender",0
"A723688","Dog","German Shepherd Mix","Brown/Black","1.00","Neutered Male",NULL,"2016-11-17 15:04:00",NULL,NULL,0
"A723689","Dog","Labrador Retriever Mix","Brown/Cream","1.00","Neutered Male","Foster","2016-04-21 12:29:00",NULL,NULL,0
"A723690","Dog","Jack Russell Terrier Mix","White/Tan","2.00","Neutered Male","Foster","2016-04-30 15:27:00",NULL,NULL,0
"A723693","Dog","Chihuahua Shorthair Mix","Chocolate/White","2.00","Neutered Male",NULL,"2016-04-22 12:06:00",NULL,NULL,0
"A723702","Cat","Domestic Shorthair Mix","Blue Tabby","1.00","Neutered Male",NULL,"2016-04-17 19:11:00","2016-05-15 16:41:00","Owner Surrender",1
"A723702","Cat","Domestic Shorthair Mix","Blue Tabby","1.00","Neutered Male",NULL,"2016-06-13 14:39:00",NULL,NULL,0
"A723703","Cat","Domestic Shorthair Mix","Brown Tabby/White","1.00","Spayed Female",NULL,"2016-04-16 16:03:00",NULL,NULL,0
"A723704","Dog","Chihuahua Longhair Mix","Cream","1.00","Neutered Male",NULL,"2016-04-09 17:42:00","2016-04-15 16:45:00","Owner Surrender",1
"A723704","Dog","Chihuahua Longhair Mix","Cream","1.00","Neutered Male",NULL,"2016-04-16 14:06:00",NULL,NULL,0
"A723716","Dog","German Shepherd Mix","Brown/Black","2.00","Spayed Female","Foster","2016-05-09 16:29:00",NULL,NULL,0
"A723719","Cat","Domestic Shorthair Mix","Brown Tabby/White","1.00","Spayed Female",NULL,"2016-04-09 15:14:00",NULL,NULL,0
"A723721","Dog","Chihuahua Shorthair Mix","Black/Tan","1.00","Neutered Male",NULL,"2016-04-11 17:02:00","2016-07-10 15:24:00","Owner Surrender",1
"A723721","Dog","Chihuahua Shorthair Mix","Black/Tan","1.00","Neutered Male",NULL,"2016-07-12 12:52:00",NULL,NULL,0
"A723723","Dog","Pit Bull Mix","Blue/White","5.00","Spayed Female","Foster","2017-01-24 00:00:00",NULL,NULL,0
"A723724","Cat","Domestic Shorthair Mix","Blue","8.00","Spayed Female","Foster","2016-07-01 15:33:00",NULL,NULL,0
"A723728","Dog","Labrador Retriever/German Shepherd","Yellow","3.00","Neutered Male",NULL,"2016-04-11 14:45:00",NULL,NULL,0
"A723731","Cat","Domestic Shorthair","Black Tabby","0.17","Spayed Female","Foster","2016-06-30 16:39:00",NULL,NULL,0
"A723732","Cat","Domestic Shorthair","Black Tabby","0.33","Spayed Female","Foster","2016-08-19 15:10:00",NULL,NULL,0
"A723733","Cat","Domestic Shorthair","Black Tabby","0.25","Spayed Female","Foster","2016-07-09 19:11:00",NULL,NULL,0
"A723734","Cat","Domestic Shorthair","Black Tabby","0.33","Neutered Male","Foster","2016-08-19 15:10:00",NULL,NULL,0
"A723736","Dog","Pointer Mix","White/Black","0.33","Spayed Female",NULL,"2016-04-10 17:59:00",NULL,NULL,0
"A723737","Dog","Chihuahua Shorthair Mix","Yellow","1.00","Spayed Female",NULL,"2016-04-10 18:06:00",NULL,NULL,0
"A723738","Cat","Domestic Shorthair Mix","Black","1.00","Spayed Female",NULL,"2016-07-02 16:56:00",NULL,NULL,0
"A723739","Dog","Chihuahua Shorthair Mix","Black/White","3.00","Neutered Male",NULL,"2016-04-10 14:47:00","2016-04-11 15:44:00","Owner Surrender",1
"A723740","Cat","Domestic Shorthair Mix","Black Tabby","0.25","Neutered Male","Foster","2016-07-09 14:50:00",NULL,NULL,0
"A723741","Cat","Domestic Shorthair Mix","Black Tabby","0.25","Spayed Female","Foster","2016-07-09 18:12:00",NULL,NULL,0
"A723742","Dog","Miniature Schnauzer Mix","Black/White","5.00","Spayed Female",NULL,"2016-04-10 17:27:00",NULL,NULL,0
"A723745","Cat","Domestic Shorthair Mix","Brown Tabby","3.00","Neutered Male",NULL,"2016-05-13 19:15:00",NULL,NULL,0
"A723751","Dog","Pointer Mix","Brown Brindle","0.67","Spayed Female",NULL,"2016-06-18 16:43:00","2016-06-19 12:16:00","Owner Surrender",1
"A723751","Dog","Pointer Mix","Brown Brindle","0.67","Spayed Female",NULL,"2016-06-30 12:06:00",NULL,NULL,0
"A723752","Cat","Domestic Shorthair Mix","Brown Tabby/White","2.00","Neutered Male",NULL,"2016-06-20 16:00:00",NULL,NULL,0
"A723753","Cat","Domestic Shorthair","Calico","0.50","Spayed Female",NULL,"2016-04-14 18:55:00",NULL,NULL,0
"A723755","Cat","Domestic Shorthair Mix","Brown Tabby/White","0.17","Neutered Male","Foster","2016-05-24 13:00:00",NULL,NULL,0
"A723761","Cat","Domestic Shorthair Mix","Orange Tabby","0.25","Spayed Female","Foster","2016-06-14 09:43:00",NULL,NULL,0
"A723763","Dog","German Shepherd Mix","Black/Brown","0.17","Spayed Female",NULL,"2016-04-10 17:13:00",NULL,NULL,0
"A723783","Dog","Pointer Mix","White/Black","0.17","Neutered Male",NULL,"2016-04-11 07:05:00",NULL,NULL,0
"A723788","Dog","Catahoula Mix","Brown Brindle/White","2.00","Spayed Female","Foster","2016-09-30 12:46:00",NULL,NULL,0
"A723790","Cat","Domestic Medium Hair Mix","Black","0.17","Neutered Male","Foster","2016-05-24 12:53:00",NULL,NULL,0
"A723803","Cat","Russian Blue Mix","Blue","3.00","Spayed Female","Foster","2016-12-13 15:44:00",NULL,NULL,0
"A723806","Dog","Chihuahua Shorthair Mix","Black/Brown Brindle","0.17","Spayed Female",NULL,"2016-04-08 19:02:00",NULL,NULL,0
"A723807","Cat","Domestic Shorthair Mix","Tortie","0.17","Spayed Female","Foster","2016-05-15 18:01:00",NULL,NULL,0
"A723809","Dog","Border Collie Mix","Black","0.17","Spayed Female",NULL,"2016-04-11 17:11:00",NULL,NULL,0
"A723810","Dog","Rat Terrier Mix","White/Black","3.00","Spayed Female",NULL,"2016-04-11 17:38:00",NULL,NULL,0
"A723813","Cat","Domestic Shorthair Mix","White/Black","3.00","Spayed Female",NULL,"2016-07-09 15:19:00",NULL,NULL,0
"A723814","Cat","Domestic Shorthair Mix","Brown Tabby","3.00","Spayed Female",NULL,"2016-07-02 16:31:00",NULL,NULL,0
"A723817","Dog","Schnauzer Giant Mix","Brown/Gray","2.00","Neutered Male","Foster","2016-05-02 16:20:00",NULL,NULL,0
"A723818","Cat","Domestic Shorthair Mix","Orange Tabby","0.17","Neutered Male","Foster","2016-05-14 19:07:00",NULL,NULL,0
"A723821","Dog","Cocker Spaniel/Dachshund","Cream/White","12.00","Neutered Male","Foster","2016-07-11 13:12:00",NULL,NULL,0
"A723824","Cat","Maine Coon Mix","Brown Tabby","5.00","Neutered Male",NULL,"2016-04-25 16:27:00",NULL,NULL,0
"A723825","Cat","Domestic Shorthair Mix","Black/White","2.00","Spayed Female",NULL,"2016-06-12 14:26:00",NULL,NULL,0
"A723827","Cat","Domestic Shorthair Mix","Torbie","0.17","Spayed Female","Foster","2016-05-24 12:08:00",NULL,NULL,0
"A723828","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.17","Neutered Male","Foster","2016-05-24 12:05:00",NULL,NULL,0
"A723837","Dog","Cairn Terrier Mix","White","0.17","Spayed Female",NULL,"2016-04-15 19:18:00","2017-07-30 16:00:00","Stray",0
"A723837","Dog","Cairn Terrier Mix","White","1.00","Spayed Female",NULL,"2017-08-03 13:28:00",NULL,NULL,0
"A723838","Dog","Cairn Terrier Mix","Tan/Black","0.17","Spayed Female",NULL,"2016-04-16 11:28:00",NULL,NULL,0
"A723843","Cat","Domestic Medium Hair/Maine Coon","Brown Tabby","13.00","Neutered Male",NULL,"2016-04-15 17:36:00","2016-04-18 18:26:00","Owner Surrender",1
"A723843","Cat","Domestic Medium Hair/Maine Coon","Brown Tabby","13.00","Neutered Male",NULL,"2016-05-22 18:00:00",NULL,NULL,0
"A723846","Dog","Pit Bull Mix","White/Black","1.00","Neutered Male",NULL,"2016-04-18 18:08:00","2016-04-21 13:39:00","Owner Surrender",1
"A723858","Dog","Labrador Retriever/Pit Bull","Black/White","1.00","Spayed Female","Foster","2016-06-16 14:17:00",NULL,NULL,0
"A723862","Dog","Miniature Schnauzer","Gray/White","8.00","Neutered Male",NULL,"2017-03-16 11:22:00",NULL,NULL,0
"A723866","Cat","Domestic Shorthair Mix","Brown Tabby/Black","12.00","Spayed Female","Foster","2016-09-08 13:08:00",NULL,NULL,0
"A723867","Dog","Rhod Ridgeback Mix","Brown","1.00","Neutered Male",NULL,"2016-04-29 16:43:00","2016-04-30 12:42:00","Owner Surrender",1
"A723867","Dog","Rhod Ridgeback Mix","Brown","1.00","Neutered Male",NULL,"2016-05-01 12:51:00",NULL,NULL,0
"A723868","Dog","Black Mouth Cur Mix","Red","1.00","Spayed Female","Foster","2016-04-28 12:15:00","2016-05-13 12:24:00","Owner Surrender",1
"A723869","Dog","Catahoula Mix","Brown Brindle/White","0.58","Neutered Male",NULL,"2016-04-14 00:00:00",NULL,NULL,0
"A723872","Dog","Miniature Poodle Mix","White/White","1.00","Neutered Male",NULL,"2016-04-14 17:46:00",NULL,NULL,0
"A723885","Cat","Domestic Shorthair Mix","Black/White","2.00","Neutered Male",NULL,"2016-04-16 17:12:00","2016-04-27 15:33:00","Owner Surrender",1
"A723885","Cat","Domestic Shorthair Mix","Black/White","2.00","Neutered Male",NULL,"2016-05-04 00:00:00","2016-05-06 15:19:00","Owner Surrender",1
"A723885","Cat","Domestic Shorthair Mix","Black/White","2.00","Neutered Male",NULL,"2016-05-08 14:08:00",NULL,NULL,0
"A723886","Cat","Domestic Shorthair Mix","White/Tan","2.00","Neutered Male",NULL,"2016-04-18 11:16:00",NULL,NULL,0
"A723890","Dog","Australian Shepherd Mix","White/Tricolor","1.00","Spayed Female","Foster","2016-06-14 12:07:00",NULL,NULL,0
"A723891","Dog","Australian Shepherd Mix","White","0.17","Spayed Female","Foster","2016-06-15 11:27:00",NULL,NULL,0
"A723892","Dog","Australian Shepherd Mix","Tricolor","0.17","Spayed Female","Foster","2016-06-14 12:35:00",NULL,NULL,0
"A723894","Dog","Australian Cattle Dog Mix","Tricolor","0.17","Neutered Male","Foster","2016-06-15 11:22:00",NULL,NULL,0
"A723895","Dog","Australian Cattle Dog Mix","Black/White","0.17","Neutered Male","Foster","2016-06-14 12:12:00",NULL,NULL,0
"A723896","Dog","Australian Cattle Dog Mix","Black/White","0.17","Intact Female","Foster","2016-05-31 20:35:00",NULL,NULL,0
"A723898","Cat","Domestic Shorthair Mix","Calico","9.00","Spayed Female","Foster","2017-02-25 14:48:00",NULL,NULL,0
"A723899","Cat","Domestic Shorthair Mix","Blue/White","3.00","Neutered Male","Foster","2016-12-06 11:28:00",NULL,NULL,0
"A723900","Cat","Domestic Shorthair Mix","Calico","3.00","Spayed Female",NULL,"2016-09-05 18:36:00","2016-09-06 18:17:00","Owner Surrender",1
"A723900","Cat","Domestic Shorthair Mix","Calico","3.00","Spayed Female",NULL,"2016-10-08 22:20:00",NULL,NULL,0
"A723907","Cat","Domestic Shorthair Mix","Torbie/White","4.00","Spayed Female","Foster","2016-06-10 12:57:00",NULL,NULL,0
"A723908","Dog","Border Collie Mix","Black/White","3.00","Neutered Male",NULL,"2016-05-19 19:09:00",NULL,NULL,0
"A723911","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male","Foster","2016-05-11 10:31:00",NULL,NULL,0
"A723912","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male","Foster","2016-05-11 10:37:00",NULL,NULL,0
"A723913","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Spayed Female","Foster","2016-05-11 10:41:00",NULL,NULL,0
"A723914","Dog","Black Mouth Cur Mix","Red/Black","2.00","Neutered Male","Foster","2016-10-01 09:32:00",NULL,NULL,0
"A723944","Cat","Norwegian Forest Cat Mix","Blue/White","7.00","Neutered Male",NULL,"2016-04-12 17:23:00",NULL,NULL,0
"A723945","Dog","Labrador Retriever Mix","Red","3.00","Neutered Male",NULL,"2016-05-09 00:00:00","2016-05-31 13:17:00","Owner Surrender",1
"A723945","Dog","Labrador Retriever Mix","Red","3.00","Neutered Male",NULL,"2016-06-26 18:56:00","2016-07-07 16:41:00","Owner Surrender",1
"A723945","Dog","Labrador Retriever Mix","Red","3.00","Neutered Male","Foster","2016-09-30 09:22:00",NULL,NULL,0
"A723952","Dog","Pit Bull Mix","White/Brown","3.00","Spayed Female","Foster","2016-06-28 14:50:00",NULL,NULL,0
"A723955","Cat","Domestic Longhair Mix","Orange Tabby","14.00","Neutered Male",NULL,"2016-06-04 16:51:00",NULL,NULL,0
"A723956","Dog","Pekingese Mix","Chocolate/Tan","2.00","Neutered Male",NULL,"2016-04-15 16:37:00",NULL,NULL,0
"A723959","Dog","Miniature Schnauzer Mix","Black/White","0.42","Spayed Female",NULL,"2016-04-14 19:05:00",NULL,NULL,0
"A723964","Dog","Labrador Retriever Mix","Black/White","0.08","Spayed Female","Foster","2016-05-02 15:34:00",NULL,NULL,0
"A723965","Dog","Labrador Retriever Mix","Brown/White","0.08","Spayed Female","Foster","2016-05-01 17:43:00",NULL,NULL,0
"A723966","Dog","Siberian Husky Mix","White","1.00","Spayed Female",NULL,"2016-04-14 18:59:00",NULL,NULL,0
"A723972","Dog","Shih Tzu Mix","White/Gray","1.00","Spayed Female",NULL,"2016-04-16 18:35:00",NULL,NULL,0
"A723978","Dog","Pit Bull Mix","Brown Brindle/White","0.42","Spayed Female",NULL,"2016-04-17 14:56:00",NULL,NULL,0
